invoice_id,branch,city,category,unit_price,quantity,date,time,payment_method,rating,profit_margin,total
1,walm003,san antonio,health and beauty,74.69,7,2019-01-05 00:00:00,13:08:00,ewallet,9.1,0.48,522.83
2,walm048,harlingen,electronic accessories,15.28,5,2019-03-08 00:00:00,10:29:00,cash,9.6,0.48,76.4
3,walm067,haltom city,home and lifestyle,46.33,7,2019-03-03 00:00:00,13:23:00,credit card,7.4,0.33,324.31
4,walm064,bedford,health and beauty,58.22,8,2019-01-27 00:00:00,20:33:00,ewallet,8.4,0.33,465.76
5,walm013,irving,sports and travel,86.31,7,2019-02-08 00:00:00,10:37:00,ewallet,5.3,0.48,604.17
6,walm026,denton,electronic accessories,85.39,7,2019-03-25 00:00:00,18:30:00,ewallet,4.1,0.48,597.73
7,walm088,cleburne,electronic accessories,68.84,6,2019-02-25 00:00:00,14:36:00,ewallet,5.8,0.33,413.04
8,walm100,canyon,home and lifestyle,73.56,10,2019-02-24 00:00:00,11:38:00,ewallet,8,0.18,735.6
9,walm066,grapevine,health and beauty,36.26,2,2019-01-10 00:00:00,17:15:00,credit card,7.2,0.33,72.52
10,walm065,texas city,food and beverages,54.84,3,2019-02-20 00:00:00,13:27:00,credit card,5.9,0.33,164.52
11,walm013,irving,fashion accessories,14.48,4,2019-02-06 00:00:00,18:07:00,ewallet,4.5,0.48,57.92
12,walm035,san angelo,electronic accessories,25.51,4,2019-03-09 00:00:00,17:03:00,cash,6.8,0.48,102.04
13,walm027,abilene,electronic accessories,46.95,5,2019-02-12 00:00:00,10:25:00,ewallet,7.1,0.48,234.75
14,walm035,san angelo,food and beverages,43.19,10,2019-02-07 00:00:00,16:48:00,ewallet,8.2,0.48,431.9
15,walm031,lewisville,health and beauty,71.38,10,2019-03-29 00:00:00,19:21:00,cash,5.7,0.48,713.8
16,walm008,corpus christi,sports and travel,93.72,6,2019-01-15 00:00:00,16:19:00,cash,4.5,0.48,562.32
17,walm029,round rock,health and beauty,68.93,7,2019-03-11 00:00:00,11:03:00,credit card,4.6,0.48,482.51
18,walm061,cedar park,sports and travel,72.61,6,2019-01-01 00:00:00,10:39:00,credit card,6.9,0.33,435.66
19,walm053,conroe,food and beverages,54.67,3,2019-01-21 00:00:00,18:00:00,credit card,8.6,0.57,164.01
20,walm013,irving,home and lifestyle,40.3,2,2019-03-11 00:00:00,15:30:00,ewallet,4.4,0.48,80.6
21,walm044,pharr,electronic accessories,86.04,5,2019-02-25 00:00:00,11:24:00,ewallet,4.8,0.48,430.2
22,walm088,cleburne,health and beauty,87.98,3,2019-03-05 00:00:00,10:40:00,ewallet,5.1,0.33,263.94
23,walm083,farmers branch,home and lifestyle,33.2,2,2019-03-15 00:00:00,12:20:00,credit card,4.4,0.33,66.4
24,walm067,haltom city,electronic accessories,34.56,5,2019-02-17 00:00:00,11:15:00,ewallet,9.9,0.33,172.8
25,walm023,midland,sports and travel,88.63,3,2019-03-02 00:00:00,17:36:00,ewallet,6,0.48,265.89
26,walm001,houston,home and lifestyle,52.59,8,2019-03-22 00:00:00,19:20:00,credit card,8.5,0.36,420.72
27,walm072,lancaster,fashion accessories,33.52,1,2019-02-08 00:00:00,15:31:00,cash,6.7,0.33,33.52
28,walm046,temple,fashion accessories,87.67,2,2019-03-10 00:00:00,12:17:00,credit card,7.7,0.48,175.34
29,walm012,garland,food and beverages,88.36,5,2019-01-25 00:00:00,19:48:00,cash,9.6,0.48,441.8
30,walm075,san marcos,health and beauty,24.89,9,2019-03-15 00:00:00,15:36:00,cash,7.4,0.33,224.01
31,walm076,huntsville,fashion accessories,94.13,5,2019-02-25 00:00:00,19:39:00,credit card,4.8,0.33,470.65
32,walm098,mineral wells,sports and travel,78.07,9,2019-01-28 00:00:00,12:43:00,cash,4.5,0.18,702.63
33,walm021,mcallen,sports and travel,83.78,8,2019-01-10 00:00:00,14:49:00,cash,5.1,0.48,670.24
34,walm096,eagle pass,health and beauty,96.58,2,2019-03-15 00:00:00,10:12:00,credit card,5.1,0.18,193.16
35,walm022,mesquite,food and beverages,99.42,4,2019-02-06 00:00:00,10:42:00,ewallet,7.5,0.48,397.68
36,walm095,big spring,sports and travel,68.12,1,2019-01-07 00:00:00,12:28:00,ewallet,6.8,0.33,68.12
37,walm041,mission,sports and travel,62.62,5,2019-03-10 00:00:00,19:15:00,ewallet,7,0.48,313.1
38,walm070,hurst,electronic accessories,60.88,9,2019-01-15 00:00:00,17:17:00,ewallet,4.7,0.33,547.92
39,walm070,hurst,health and beauty,54.92,8,2019-03-23 00:00:00,13:24:00,ewallet,7.6,0.33,439.36
40,walm030,richardson,home and lifestyle,30.12,8,2019-03-03 00:00:00,13:01:00,cash,7.7,0.48,240.96
41,walm033,pearland,home and lifestyle,86.72,1,2019-01-17 00:00:00,18:45:00,ewallet,7.9,0.48,86.72
42,walm088,cleburne,home and lifestyle,56.11,2,2019-02-02 00:00:00,10:11:00,cash,6.3,0.33,112.22
43,walm079,la porte,sports and travel,69.12,6,2019-02-08 00:00:00,13:03:00,cash,5.6,0.33,414.72
44,walm042,bryan,food and beverages,98.7,8,2019-03-04 00:00:00,20:39:00,cash,7.6,0.48,789.6
45,walm036,allen,health and beauty,15.37,2,2019-03-16 00:00:00,19:47:00,cash,7.2,0.48,30.74
46,walm056,rowlett,electronic accessories,93.96,4,2019-03-09 00:00:00,18:00:00,cash,9.5,0.33,375.84
47,walm058,port arthur,health and beauty,56.69,9,2019-02-27 00:00:00,17:24:00,credit card,8.4,0.33,510.21
48,walm015,grand prairie,food and beverages,20.01,9,2019-02-06 00:00:00,15:47:00,ewallet,4.1,0.48,180.09
49,walm063,georgetown,electronic accessories,18.93,6,2019-02-10 00:00:00,12:45:00,credit card,8.1,0.33,113.58
50,walm021,mcallen,fashion accessories,82.63,10,2019-03-19 00:00:00,17:08:00,ewallet,7.9,0.48,826.3
51,walm089,southlake,food and beverages,91.4,7,2019-02-03 00:00:00,10:19:00,cash,9.5,0.33,639.8
52,walm093,angleton,food and beverages,44.59,5,2019-02-10 00:00:00,15:10:00,cash,8.5,0.33,222.95
53,walm041,mission,fashion accessories,17.87,4,2019-03-22 00:00:00,14:42:00,ewallet,6.5,0.48,71.48
54,walm045,missouri city,fashion accessories,15.43,1,2019-01-25 00:00:00,15:46:00,credit card,6.1,0.48,15.43
55,walm005,fort worth,home and lifestyle,16.16,2,2019-03-07 00:00:00,11:49:00,ewallet,6.5,0.48,32.32
56,walm042,bryan,electronic accessories,85.98,8,2019-02-28 00:00:00,19:01:00,cash,8.2,0.48,687.84
57,walm003,san antonio,home and lifestyle,44.34,2,2019-03-27 00:00:00,11:26:00,cash,5.8,0.36,88.68
58,walm070,hurst,health and beauty,89.6,8,2019-02-07 00:00:00,11:28:00,ewallet,6.6,0.33,716.8
59,walm066,grapevine,home and lifestyle,72.35,10,2019-01-20 00:00:00,15:55:00,cash,5.4,0.33,723.5
60,walm031,lewisville,electronic accessories,30.61,6,2019-03-12 00:00:00,20:36:00,cash,9.3,0.48,183.66
61,walm042,bryan,sports and travel,24.74,3,2019-02-15 00:00:00,17:47:00,credit card,10,0.48,74.22
62,walm078,del rio,home and lifestyle,55.73,6,2019-02-24 00:00:00,10:55:00,ewallet,7,0.33,334.38
63,walm037,league city,sports and travel,55.07,9,2019-02-03 00:00:00,13:40:00,ewallet,10,0.48,495.63
64,walm069,rockwall,sports and travel,15.81,10,2019-03-06 00:00:00,12:27:00,credit card,8.6,0.33,158.1
65,walm087,waxahachie,health and beauty,75.74,4,2019-02-14 00:00:00,14:35:00,cash,7.6,0.33,302.96
66,walm042,bryan,health and beauty,15.87,10,2019-03-13 00:00:00,16:40:00,cash,5.8,0.48,158.7
67,walm020,killeen,health and beauty,33.47,2,2019-02-10 00:00:00,15:43:00,ewallet,6.7,0.48,66.94
68,walm029,round rock,fashion accessories,97.61,6,2019-01-07 00:00:00,15:01:00,ewallet,9.9,0.48,585.66
69,walm079,la porte,sports and travel,78.77,10,2019-01-24 00:00:00,10:04:00,cash,6.4,0.33,787.7
70,walm035,san angelo,health and beauty,18.33,1,2019-02-02 00:00:00,18:50:00,cash,4.3,0.48,18.33
71,walm007,arlington,food and beverages,89.48,10,2019-01-06 00:00:00,12:46:00,credit card,9.6,0.48,894.8
72,walm017,mckinney,fashion accessories,62.12,10,2019-02-11 00:00:00,16:19:00,cash,5.9,0.48,621.2
73,walm096,eagle pass,food and beverages,48.52,3,2019-03-05 00:00:00,18:17:00,ewallet,4,0.18,145.56
74,walm083,farmers branch,electronic accessories,75.91,6,2019-03-09 00:00:00,18:21:00,cash,8.7,0.33,455.46
75,walm072,lancaster,home and lifestyle,74.67,9,2019-01-22 00:00:00,10:55:00,ewallet,9.4,0.33,672.03
76,walm003,san antonio,electronic accessories,41.65,10,2019-01-13 00:00:00,17:04:00,credit card,5.4,0.48,416.5
77,walm058,port arthur,fashion accessories,49.04,9,2019-01-09 00:00:00,14:20:00,credit card,8.6,0.33,441.36
78,walm094,alamo,fashion accessories,20.01,9,2019-01-12 00:00:00,15:48:00,credit card,5.7,0.33,180.09
79,walm063,georgetown,food and beverages,78.31,10,2019-03-05 00:00:00,16:24:00,ewallet,6.6,0.33,783.1
80,walm071,lufkin,health and beauty,20.38,5,2019-01-22 00:00:00,18:56:00,cash,6,0.33,101.9
81,walm061,cedar park,health and beauty,99.19,6,2019-01-21 00:00:00,14:42:00,credit card,5.5,0.33,595.14
82,walm090,brownwood,food and beverages,96.68,3,2019-01-26 00:00:00,19:56:00,ewallet,6.4,0.33,290.04
83,walm061,cedar park,food and beverages,19.25,8,2019-01-23 00:00:00,18:37:00,ewallet,6.6,0.33,154
84,walm041,mission,food and beverages,80.36,4,2019-02-23 00:00:00,18:45:00,ewallet,8.3,0.48,321.44
85,walm097,alice,sports and travel,48.91,5,2019-03-09 00:00:00,10:17:00,cash,6.6,0.18,244.55
86,walm043,baytown,sports and travel,83.06,7,2019-03-05 00:00:00,14:31:00,ewallet,4,0.48,581.42
87,walm042,bryan,fashion accessories,76.52,5,2019-03-25 00:00:00,10:23:00,cash,9.9,0.48,382.6
88,walm046,temple,food and beverages,49.38,7,2019-03-27 00:00:00,20:35:00,credit card,7.3,0.48,345.66
89,walm011,lubbock,sports and travel,42.47,1,2019-01-02 00:00:00,16:57:00,cash,5.7,0.48,42.47
90,walm064,bedford,health and beauty,76.99,6,2019-02-27 00:00:00,17:55:00,cash,6.1,0.33,461.94
91,walm095,big spring,home and lifestyle,47.38,4,2019-01-23 00:00:00,10:25:00,cash,7.1,0.33,189.52
92,walm049,north richland hills,sports and travel,44.86,10,2019-01-26 00:00:00,19:54:00,ewallet,8.2,0.48,448.6
93,walm040,edinburg,sports and travel,21.98,7,2019-01-10 00:00:00,16:42:00,ewallet,5.1,0.48,153.86
94,walm065,texas city,health and beauty,64.36,9,2019-03-12 00:00:00,12:09:00,credit card,8.6,0.33,579.24
95,walm075,san marcos,health and beauty,89.75,1,2019-02-06 00:00:00,20:05:00,credit card,6.6,0.33,89.75
96,walm034,college station,electronic accessories,97.16,1,2019-03-08 00:00:00,20:38:00,ewallet,7.2,0.48,97.16
97,walm014,amarillo,health and beauty,87.87,10,2019-03-29 00:00:00,10:25:00,ewallet,5.1,0.48,878.7
98,walm096,eagle pass,electronic accessories,12.45,6,2019-02-09 00:00:00,13:11:00,cash,4.1,0.18,74.7
99,walm004,austin,food and beverages,52.75,3,2019-03-23 00:00:00,10:16:00,ewallet,9.3,0.48,158.25
100,walm011,lubbock,home and lifestyle,82.7,6,2019-03-05 00:00:00,18:14:00,cash,7.4,0.48,496.2
101,walm075,san marcos,fashion accessories,48.71,1,2019-03-26 00:00:00,19:20:00,cash,4.1,0.33,48.71
102,walm057,euless,fashion accessories,78.55,9,2019-03-01 00:00:00,13:22:00,cash,7.2,0.33,706.95
103,walm023,midland,electronic accessories,23.07,9,2019-02-01 00:00:00,11:27:00,cash,4.9,0.48,207.63
104,walm012,garland,food and beverages,58.26,6,2019-03-28 00:00:00,16:44:00,cash,9.9,0.48,349.56
105,walm078,del rio,health and beauty,30.35,7,2019-03-19 00:00:00,18:19:00,cash,8,0.33,212.45
106,walm055,waxahachie,electronic accessories,88.67,10,2019-01-12 00:00:00,14:50:00,ewallet,7.3,0.33,886.7
107,walm038,sugar land,fashion accessories,27.38,6,2019-01-05 00:00:00,20:54:00,credit card,7.9,0.48,164.28
108,walm049,north richland hills,sports and travel,62.13,6,2019-03-22 00:00:00,20:19:00,cash,7.4,0.48,372.78
109,walm044,pharr,food and beverages,33.98,9,2019-03-24 00:00:00,10:43:00,cash,4.2,0.48,305.82
110,walm056,rowlett,electronic accessories,81.97,10,2019-03-03 00:00:00,14:30:00,cash,9.2,0.33,819.7
111,walm007,arlington,sports and travel,16.49,2,2019-02-05 00:00:00,11:32:00,ewallet,4.6,0.48,32.98
112,walm025,waco,health and beauty,98.21,3,2019-02-05 00:00:00,10:41:00,credit card,7.8,0.48,294.63
113,walm005,fort worth,fashion accessories,72.84,7,2019-02-15 00:00:00,12:44:00,cash,8.4,0.48,509.88
114,walm024,carrollton,home and lifestyle,58.07,9,2019-01-19 00:00:00,20:07:00,ewallet,4.3,0.48,522.63
115,walm003,san antonio,home and lifestyle,80.79,9,2019-02-01 00:00:00,20:31:00,credit card,9.5,0.36,727.11
116,walm087,waxahachie,fashion accessories,27.02,3,2019-03-02 00:00:00,13:01:00,credit card,7.1,0.33,81.06
117,walm040,edinburg,fashion accessories,21.94,5,2019-03-05 00:00:00,12:29:00,ewallet,5.3,0.48,109.7
118,walm071,lufkin,fashion accessories,51.36,1,2019-01-16 00:00:00,15:26:00,ewallet,5.2,0.33,51.36
119,walm027,abilene,food and beverages,10.96,10,2019-02-02 00:00:00,20:48:00,ewallet,6,0.48,109.6
120,walm071,lufkin,home and lifestyle,53.44,2,2019-01-20 00:00:00,20:38:00,ewallet,4.1,0.33,106.88
121,walm014,amarillo,electronic accessories,99.56,8,2019-02-14 00:00:00,17:03:00,credit card,5.2,0.48,796.48
122,walm069,rockwall,sports and travel,57.12,7,2019-01-12 00:00:00,12:02:00,credit card,6.5,0.33,399.84
123,walm085,kerrville,sports and travel,99.96,9,2019-03-09 00:00:00,17:26:00,credit card,4.2,0.33,899.64
124,walm061,cedar park,home and lifestyle,63.91,8,2019-03-13 00:00:00,19:52:00,credit card,4.6,0.33,511.28
125,walm088,cleburne,fashion accessories,56.47,8,2019-03-09 00:00:00,14:57:00,ewallet,7.3,0.33,451.76
126,walm034,college station,home and lifestyle,93.69,7,2019-03-10 00:00:00,18:44:00,credit card,4.5,0.48,655.83
127,walm016,brownsville,sports and travel,32.25,5,2019-01-27 00:00:00,13:26:00,cash,9,0.48,161.25
128,walm044,pharr,fashion accessories,31.73,9,2019-01-08 00:00:00,16:17:00,credit card,5.9,0.48,285.57
129,walm035,san angelo,food and beverages,68.54,8,2019-01-08 00:00:00,15:57:00,ewallet,8.5,0.48,548.32
130,walm018,frisco,sports and travel,90.28,9,2019-02-08 00:00:00,11:15:00,ewallet,7.2,0.48,812.52
131,walm022,mesquite,fashion accessories,39.62,7,2019-01-25 00:00:00,13:18:00,cash,7.5,0.48,277.34
132,walm068,burleson,sports and travel,92.13,6,2019-03-06 00:00:00,20:34:00,cash,8.3,0.33,552.78
133,walm055,waxahachie,sports and travel,34.84,4,2019-02-10 00:00:00,18:36:00,cash,7.4,0.33,139.36
134,walm002,dallas,electronic accessories,87.45,6,2019-02-17 00:00:00,14:40:00,credit card,8.8,0.36,524.7
135,walm062,galveston,health and beauty,81.3,6,2019-03-08 00:00:00,16:43:00,ewallet,5.3,0.33,487.8
136,walm098,mineral wells,fashion accessories,90.22,3,2019-02-18 00:00:00,19:39:00,cash,6.2,0.18,270.66
137,walm027,abilene,electronic accessories,26.31,5,2019-01-18 00:00:00,20:59:00,credit card,8.8,0.48,131.55
138,walm093,angleton,home and lifestyle,34.42,6,2019-02-18 00:00:00,15:39:00,cash,9.8,0.33,206.52
